date,time,size,version,os,country,ip_id
"2024-03-01","16:06:03",82638374,"4.3.3","win","US",1
"2024-03-01","16:06:02",82638374,"4.3.3","win","US",2
"2024-03-01","16:06:16",82638374,"4.3.3","win","ZA",3
"2024-03-01","16:06:27",82730372,"4.3.3","win",NA,4
"2024-03-01","16:06:17",84210654,"4.3.3","osx","US",5
"2024-03-01","16:06:25",82638374,"4.3.3","win",NA,4
"2024-03-01","16:06:31",82730828,"4.3.3","win","GB",6
"2024-03-01","16:06:36",84210654,"4.3.3","osx","US",7
"2024-03-01","16:06:33",82638374,"4.3.3","win","US",8
"2024-03-01","16:06:33",84210655,"4.3.3","osx","US",9
"2024-03-01","16:06:45",84210654,"4.3.3","osx","US",10
"2024-03-01","16:06:45",84210654,"4.3.3","osx","US",11
"2024-03-01","16:06:54",82638369,"4.3.3","win","US",12
"2024-03-01","16:06:57",82638373,"4.3.3","win","US",13
"2024-03-01","16:06:07",82729380,"4.3.3","win","FR",14
"2024-03-01","16:06:08",35039789,"4.3.2","src","US",15
"2024-03-01","16:07:10",83735565,"3.6.0","win","US",16
"2024-03-01","16:07:18",84210654,"4.3.3","osx","US",17
"2024-03-01","16:05:24",82730875,"4.3.3","win","MX",18
"2024-03-01","16:07:13",82638374,"4.3.3","win","US",19
"2024-03-01","16:07:17",82732743,"4.3.3","win",NA,4
"2024-03-01","16:06:41",95839392,"4.3.2","osx","CA",20
"2024-03-01","16:07:30",82731027,"4.3.3","win","US",21
"2024-03-01","16:07:28",84210654,"4.3.3","osx","US",22
"2024-03-01","16:05:57",82730938,"4.3.3","win",NA,4
"2024-03-01","16:07:24",82638373,"4.3.3","win","US",23
"2024-03-01","16:07:33",95841461,"4.3.2","osx","US",24
"2024-03-01","16:07:25",82730704,"4.3.3","win","GB",25
"2024-03-01","16:07:37",82638374,"4.3.3","win","US",26
"2024-03-01","16:07:44",84210654,"4.3.3","osx","US",27
"2024-03-01","16:07:28",82730820,"4.3.3","win","MY",28
"2024-03-01","16:07:25",82731574,"4.3.3","win","US",29
"2024-03-01","16:07:56",84210654,"4.3.3","osx","US",30
"2024-03-01","16:07:51",84210654,"4.3.3","osx","US",30
"2024-03-01","16:08:03",95839099,"4.3.2","osx","US",31
"2024-03-01","16:07:58",84210654,"4.3.3","osx","US",32
"2024-03-01","16:07:33",82730361,"4.3.3","win","GB",33
"2024-03-01","16:07:55",84210654,"4.3.3","osx","US",34
"2024-03-01","16:07:53",84210654,"4.3.3","osx","US",35
"2024-03-01","16:08:08",95839348,"4.3.2","osx",NA,4
"2024-03-01","16:08:19",82638369,"4.3.3","win","US",36
"2024-03-01","16:07:29",82730659,"4.3.3","win",NA,4
"2024-03-01","16:08:27",90548877,"4.1.1","osx","US",37
"2024-03-01","16:08:30",95839040,"4.3.2","osx",NA,4
"2024-03-01","16:08:42",98225449,"4.3.2","osx",NA,4
"2024-03-01","16:08:36",95839265,"4.3.2","osx","US",38
"2024-03-01","16:08:45",98117412,"4.3.2","osx","US",30
"2024-03-01","16:08:54",84210654,"4.3.3","osx","US",39
"2024-03-01","16:09:03",82638370,"4.3.3","win",NA,4
"2024-03-01","16:09:01",82730894,"4.3.3","win",NA,4
"2024-03-01","16:09:15",98226112,"4.3.2","osx","US",40
"2024-03-01","16:09:14",82638373,"4.3.3","win","US",41
"2024-03-01","16:09:18",35039792,"4.3.2","src","US",15
"2024-03-01","16:09:28",92688892,"4.2.2","osx","US",35
"2024-03-01","16:09:25",84210654,"4.3.3","osx","US",42
"2024-03-01","16:09:27",95840283,"4.3.2","osx",NA,4
"2024-03-01","16:09:31",82737023,"4.3.3","win",NA,4
"2024-03-01","16:09:35",82731658,"4.3.3","win","US",43
"2024-03-01","16:09:39",82730837,"4.3.3","win",NA,4
"2024-03-01","16:09:35",82731333,"4.3.3","win","US",44
"2024-03-01","16:09:26",82730702,"4.3.3","win","ZA",45
"2024-03-01","16:09:36",82729172,"4.3.3","win","BR",46
"2024-03-01","16:09:58",98228212,"4.3.2","osx",NA,4
"2024-03-01","16:10:03",82730398,"4.3.3","win","GB",47
